iteration,local_LB,local_UB,repeat_served,miss_served
1,66,312,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;
2,67.5,312,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;
3,75,312,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;
4,82.5,312,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;
5,90,296,,1;2;3;4;5;6;7;8;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;
6,98.5,296,,1;2;3;4;5;6;7;8;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;
7,107,268,,1;2;3;4;5;6;7;8;10;13;14;17;18;20;21;22;23;24;25;26;27;28;29;30;
8,119,268,,1;2;3;4;5;6;7;8;10;13;14;17;18;20;21;22;23;24;25;26;27;28;29;30;
9,129,232,,1;2;3;4;5;7;10;14;17;18;20;21;22;24;27;28;29;30;
10,137,228,,1;2;3;4;5;7;10;12;14;18;21;22;24;27;28;29;30;
11,144.5,226,,1;3;4;7;10;11;14;16;18;21;22;24;27;28;29;30;
12,150,222,11;12;15;16;,1;3;4;7;10;14;18;21;22;24;27;28;29;30;
13,158.5,226,,1;3;4;7;10;11;14;15;18;21;22;24;27;28;29;30;
14,163.5,208,11;15;,1;3;7;10;18;21;22;24;27;28;29;30;
15,170.5,210,,7;10;11;15;21;22;24;27;28;29;30;
16,174,202,11;,1;3;7;10;21;22;24;27;28;29;30;
17,180,228,1;3;4;6;8;14;15;,10;21;22;24;27;28;30;
18,183,192,,7;10;21;22;24;27;28;30;
19,187,192,,7;10;21;22;24;27;28;30;
20,190,192,,7;10;21;22;24;27;28;30;
21,193,231,16;23;26;,1;2;3;4;5;10;14;15;21;24;27;28;30;
22,196.5,215,3;6;14;,5;10;21;22;24;28;29;30;
23,200,200,,7;21;25;28;30;
24,204.5,241,8;12;21;25;27;,2;3;14;28;30;
25,207,235,13;15;24;,8;11;30;
26,198,238,10;11;,12;15;
27,203.5,210,,
28,203.5,287,1;2;3;4;5;8;12;14;15;,9;10;11;13;16;21;24;25;27;29;30;
29,208.5,248,2;7;23;30;,1;4;24;29;
30,207,236,1;4;12;23;,2;6;7;24;
31,207.5,226,27;,23;
32,207.5,226,29;,15;
33,207.5,227,15;19;,12;26;
34,205.5,223,12;26;,19;29;
35,207.5,217,19;,26;
36,206,208,,
37,206,289,2;6;7;23;26;29;,1;4;9;12;15;19;27;30;
38,207,219,26;,19;
39,207,212,9;,10;19;28;29;
40,212,226,29;,11;
计算总用时175.74941539764404秒,,,,
