Iteration,TASK-0,TASK-1,TASK-2,TASK-3,
iteration-1,0,0,0,0,
iteration-2,-1,-1,-1,-1,
iteration-3,-2,-2,-2,-2,
iteration-4,-3,-3,-3,-3,
iteration-5,-4,-4,-4,-4,
iteration-6,-5,-5,-4,-4,
iteration-7,-6,-6,-4,-4,
iteration-8,-6,-6,-4,-4,
iteration-9,-6,-6,-4,-4,
iteration-10,-6,-6,-4,-4,
iteration-11,-6,-6,-4,-4,
iteration-12,-6,-6,-4,-4,
iteration-13,-6,-6,-4,-4,
iteration-14,-6,-6,-4,-4,
iteration-15,-6,-6,-4,-4,
iteration-16,-6,-6,-4,-4,
iteration-17,-6,-6,-4,-4,
iteration-18,-6.0,-6.0,-4.0,-4.0,
iteration-19,-6.0,-6.0,-4.0,-4.0,
iteration-20,-6.0,-6.0,-4.0,-4.0,
iteration-21,-6.0,-6.0,-4.0,-4.0,
iteration-22,-6.0,-6.0,-4.0,-4.0,
iteration-23,-6.0,-6.0,-4.0,-4.0,
iteration-24,-6.0,-6.0,-4.0,-4.0,
iteration-25,-6.0,-6.0,-4.0,-4.0,
iteration-26,-6.0,-6.0,-4.0,-4.0,
iteration-27,-6.0,-6.0,-4.0,-4.0,
iteration-28,-6.0,-6.0,-4.0,-4.0,
iteration-29,-6.0,-6.0,-4.0,-4.0,
iteration-30,-6.0,-6.0,-4.0,-4.0,
iteration-31,-6.0,-6.0,-4.0,-4.0,
iteration-32,-6.0,-6.0,-4.0,-4.0,
iteration-33,-6.0,-6.0,-4.0,-4.0,
iteration-34,-6.0,-6.0,-4.0,-4.0,
iteration-35,-6.0,-6.0,-4.0,-4.0,
iteration-36,-6.0,-6.0,-4.0,-4.0,
iteration-37,-6.0,-6.0,-4.0,-4.0,
iteration-38,-6.0,-6.0,-4.0,-4.0,
iteration-39,-6.0,-6.0,-4.0,-4.0,
iteration-40,-6.0,-6.0,-4.0,-4.0,
